date_added,sku,name,type,price,description
'2025-01-01',JAF-001,nutellaphone who dis?,jaffle,1100,nutella and banana jaffle
'2025-01-01',JAF-002,doctor stew,jaffle,1109,house-made beef stew jaffle
'2025-01-01',JAF-003,the krautback,jaffle,1204,"lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard"
'2025-01-01',JAF-004,flame impala,jaffle,1440,"pulled pork and pineapple al pastor marinated in ghost pepper sauce, kevin parker's favorite!"
'2025-01-01',JAF-005,mel-bun,jaffle,1204,"melon and minced beef bao, in a jaffle, savory and sweet"
'2025-01-01',BEV-001,tangaroo,beverage,604,mango and tangerine smoothie
'2025-01-01',BEV-002,chai and mighty,beverage,530,oatmilk chai latte with protein boost
'2025-01-01',BEV-003,vanilla ice,beverage,603,iced coffee with house-made french vanilla syrup
'2025-01-01',BEV-004,"for richer or pourover",jaffle,720,"daily selection of single estate beans for a delicious hot pourover"
'2024-01-01',BEV-005,adele-ade,beverage,402,"a kiwi and lime agua fresca, hello from the other side of thirst"
'2026-01-01',ARC-005,geen-day,beverage,200,"a watermelon, what a song"
